School_Name,EMIS,District,Enrolment,Boys,Girls,Total_Toilets_available,Teachers_toilets,Girls_toilets,Boys_toilets,Urinals,Pit_toilets,VIP_toilets,Flushing_toilets,Enviro_toilets,Sanitation_Plan,Construction,Water,Notes
Mbangwa Primary School,915530792,Mopani,403,214,189,Pit toilets,0,0,0,0,0,0,0,0,Yes,No construction,Yes,"Pit toilets not on school property and shared with the community. Learners have to cross the street to use the toilet. Borehole on school property, but community has no water so uses school’s water. Have found a python in the toilet before. 14/04: construction has not begun. 08/05: no construction"
Modumane Secondary School,918510668,Mopani,220,112,108,2,0,0,0,0,2,0,0,0,Yes,In progress,Yes,Pit toilets are full. Learners are using bushes to relieve themselves. Have received furniture and all textbooks. Need 7 more teachers. Unable to admit learners because of insufficient teachers. Have started renovation of classrooms. 14/04 Toilets are being constructed. 08/05: construction of classrooms still in progress. Toilet pits have been dug. 
Mokobola Primary School,925620770,Capricorn,198,103,95,8,0,0,0,0,0,8,0,0,Yes,Complete,Yes,One block of classrooms has lost its roof as a result of storms in September 2013. 
Molai-Jubilee Secondary School,918510712,Mopani,392,203,189,16,4,4,8,0,16,0,0,0,No,n/a,No,"Borehole is dry, using tap in village. Classrooms in bad state of disrepair. DPW has recognised that something needs to be done urgently. Toilets are in bad condition. 08/05: no progress"
Moloko Secondary School,920212377,Capricorn,296,152,144,12,0,0,0,0,0,12,0,0,Yes,Complete,Yes,Classrooms are dilapidated. Need 50 desks. 
Motserereng Primary School,921231064,Capricorn,133,53,80,Pit toilets,0,0,0,0,0,0,0,0,Yes,No construction,Yes,08/05: Learners are using teachers’ toilets because learners’ toilets are unusable. Have alerted LDE but have received no response. 
Moupo Primary School,923260932,Capricorn,89,41,48,VIP toilets,0,0,0,0,0,0,0,0,Yes,Complete,Yes,Toilets for learners are in good condition – enviroloos. Teachers’ toilets need to be renovated. Furniture is worn out – desks and chairs are breaking. 08/05: They need 40 desks and chairs.
Mpotla Secondary School,921230924,Capricorn,130,69,61,8,0,0,0,0,0,8,0,0,Yes,Complete,Yes,Classroom block lost roof in a storm. 
Muthurwana Secondary School,930321158,Vhembe,384,193,191,VIP toilets,0,0,0,0,0,0,0,0,Yes,Complete ,No,Toilets are full and the school does not know how to clean or empty them. 08/05: need 150 desks and chairs for learners. 
Nakampe Primary School,918520764,Mopani,440,225,216,4,0,0,0,0,4,0,0,0,Yes,In progress,Yes,"School needs 100 desks and chairs and an administration office. 
14/04: Toilet construction has started.They are building 4 blocks of toilets. 
08/05: Toilet construction complete, but has not been handed over. "
Nkhumishe Primary School,922250812,Capricorn,77,44,33,7,0,4,3,1,0,7,0,0,Yes,Complete,Yes,Need office furniture for educators. 08/05: no delivery of furniture
N'wamankena Primary School,994401401,Sekhukhune,1219,556,663,36,0,0,0,0,0,36,0,0,Yes,Complete,No,They need 12 classrooms. They need 850 desks and chairs for learners and 12 tables and 16 chairs for teachers. 
Phakgamang Primary School,924651545 ,Sekhukhune,398,202,196,2,0,2,0,0,2,0,0,0,No,n/a,Yes,"12/05: Boy learners are using the bush to relieve themselves. The school has 4 classrooms that are dilapidated, and 3 mobile classrooms. "
Ramollo Primary School,918520924,Mopani,606,307,299,16,0,0,0,0,0,0,16,0,No,n/a,Insufficient,Insufficient water for flush toilets.
Ranti Secondary School,923241269,Capricorn,270,140,130,0,0,0,0,0,0,0,0,0,Yes,In progress,Yes,"10/04 - VIP toilet construction has started. They have received all their furniture. 
14/04: Do not phone the SGB. They do not want to speak to us. "
Rasupi Primary School,925631220,Sekhukhune,312,158,154,16,0,0,0,0,0,16,0,0,Yes ,Complete,Yes,08/05: Need 150 desks
Rebone Secondary School,924642589,Sekhukhune,740,361,379,12,0,0,0,0,0,12,0,0,Yes,Complete,Yes,
Risana Primary School,911360665,Vhembe,341,168,173,12,0,0,0,0,0,12,0,0,Yes,Complete,Yes,Boys’ urinals are leaking and toilet doors are not properly installed. 
Rithlavile Secondary School,916410980,Mopani,555,293,262,8,0,0,0,0,0,0,8,0,No,n/a,No,"Toilets unusable because the school lacks sufficient water. Toilets require maintenance, and school cannot afford to maintain them. 08/05:School need 200 desks and chairs"
Schoongezicht Secondary School,920211626,Capricorn,322,158,164,16,0,0,0,0,0,16,0,0,Yes,Complete,Yes,
Sedimothole Primary School,923261188,Capricorn,,,,,0,0,0,0,0,0,0,0,Yes,In progress,,Cannot reach them. 
Sejadipudi Primary School,925630289,Capricorn,180,84,95,10,0,0,0,0,0,10,0,0,Yes,Complete,Yes,
Sekaba Secondary School,926540423,Mopani,475,238,235,8,0,0,0,0,8,0,0,0,No,N/A,Yes ,"Toilets are dilapidated. When you're inside the toilet, people outside can see you. They need 100 desks and chairs for learners. They need at least three extra teachers for Maths Literacy, Life Science, and English."
Sekgothi Primary School,918511340,Mopani,217,112,105,16,0,0,0,0,0,16,0,0,Yes,Complete,Yes,Worried about maintenance of VIP toilets – need training. 
Sekhukhumele Secondary School,918510941,Mopani,419,203,216,2,0,0,0,0,2,0,0,0,Yes ,Construction has not begun,No,08/05: No construction of toilets to date. School needs 50 desks and chairs. 
Sekwala Primary School,923241351,Capricorn,269,,,12,0,0,0,0,0,12,0,0,Yes,Complete,No,
Selowe Primary School,992201601,Capricorn,,,,12,0,0,0,0,0,12,0,0,Yes,Complete,No,No water on school premises – contractor has tried and failed. 08/05: School has become uncooperative.
Seripe Primary School,918511371,Mopani,382,193,189,12,0,0,0,0,0,12,0,0,Yes, Complete,Yes ,Roof blew off a block of classrooms in November 2013. They are in the same village as Motsipa. 
Shakoleng Secondary School,922211848,Capricorn,111,111,104,12,0,0,0,0,0,12,0,0,Yes,Complete,Yes,Need 60 desks and chairs for learners.
Tholong Primary School,924642923,Sekhukhune,224,116,108,8,0,0,0,0,0,8,0,0,Yes,Complete,Yes,Need 50 desks and chairs for learners. Need 4 classrooms.
Thorometsane Primary School,925621179,Sekhukhune,247,120,127,2,0,0,0,0,2,0,0,0,No,N/A,Yes,"18/03: Learners are using pit toilets which are dilapidated and very dangerous, so teachers have to accompany learners to the toilet. Last year a learner was bitten by a spider in the toilet. Teachers are using the village toilets. Need 247 learner desks and chairs"
